127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003449
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000977
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001442
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.004078
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/js/ractive.min.js, HTTP/1.1, 304, 0.002553
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.000999
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/images/twitter.png, HTTP/1.1, 304, 0.001036
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/images/gplus-32.png, HTTP/1.1, 304, 0.001108
127.0.0.1, 2015-11-22 17:14:58, GET, /start/static/images/facebook.png, HTTP/1.1, 304, 0.000516
127.0.0.1, 2015-11-22 17:16:44, GET, /start/default/homepage.html, HTTP/1.1, 200, 0.069720
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001056
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000496
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.002821
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000853
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001836
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.002133
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.003637
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001211
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001468
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000592
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000805
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/js/ractive.min.js, HTTP/1.1, 304, 0.000487
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000384
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.002198
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/images/twitter.png, HTTP/1.1, 304, 0.001020
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/images/facebook.png, HTTP/1.1, 304, 0.000737
127.0.0.1, 2015-11-22 17:16:44, GET, /start/static/images/gplus-32.png, HTTP/1.1, 304, 0.000651
127.0.0.1, 2015-11-22 17:16:46, GET, /start/default/homepage.html, HTTP/1.1, 200, 0.033256
127.0.0.1, 2015-11-22 17:16:46, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002073
127.0.0.1, 2015-11-22 17:16:46, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.004037
127.0.0.1, 2015-11-22 17:16:46, GET, /start/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.000883
127.0.0.1, 2015-11-22 17:16:46, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001893
127.0.0.1, 2015-11-22 17:16:46, GET, /start/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.003851
127.0.0.1, 2015-11-22 17:16:46, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000866
127.0.0.1, 2015-11-22 17:16:46, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.007744
127.0.0.1, 2015-11-22 17:16:46, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001375
127.0.0.1, 2015-11-22 17:16:46, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.002193
127.0.0.1, 2015-11-22 17:16:46, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002924
127.0.0.1, 2015-11-22 17:16:46, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.003036
127.0.0.1, 2015-11-22 17:16:46, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.001304
127.0.0.1, 2015-11-22 17:16:46, GET, /start/static/js/ractive.min.js, HTTP/1.1, 304, 0.002594
127.0.0.1, 2015-11-22 17:16:46, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.002115
127.0.0.1, 2015-11-22 17:16:47, GET, /start/static/images/twitter.png, HTTP/1.1, 304, 0.001049
127.0.0.1, 2015-11-22 17:16:47, GET, /start/static/images/facebook.png, HTTP/1.1, 304, 0.000474
127.0.0.1, 2015-11-22 17:16:47, GET, /start/static/images/gplus-32.png, HTTP/1.1, 304, 0.000732
127.0.0.1, 2015-11-22 17:27:40, GET, /start/default/homepage.html, HTTP/1.1, 500, 0.714884
127.0.0.1, 2015-11-22 17:28:13, GET, /start/default/homepage.html, HTTP/1.1, 200, 0.043417
127.0.0.1, 2015-11-22 17:28:13, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001819
127.0.0.1, 2015-11-22 17:28:13, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001018
127.0.0.1, 2015-11-22 17:28:13, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001623
127.0.0.1, 2015-11-22 17:28:13, GET, /start/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000900
127.0.0.1, 2015-11-22 17:28:13, GET, /start/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.003814
127.0.0.1, 2015-11-22 17:28:13, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001024
127.0.0.1, 2015-11-22 17:28:13, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000426
127.0.0.1, 2015-11-22 17:28:13, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.002519
127.0.0.1, 2015-11-22 17:28:13, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001952
127.0.0.1, 2015-11-22 17:28:13, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.002900
127.0.0.1, 2015-11-22 17:28:13, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001895
